word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2
Advent,6.301587,2.060652,4.079365,2.671846,5.306452,2.928597,6,2
Album,5.328125,1.2731,2.714286,1.852884,2.741936,2.126611,5,2
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2
Anzahl,5.126984,0.729385,2.33871,1.983072,6.770492,2.30502,6,2
Bad,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,3,1
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,4,1
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2
Bonbon,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,6,2
Bündel,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,6,2
Butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,6,2
Dach,5.171875,1.120582,2.42623,1.765021,1.580645,1.0643,4,1
Dampf,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,5,1
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2
Feind,3.079365,2.384774,7,2.12319,6.016129,2.53818,5,1
Felsen,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,6,2
