word,word_english,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Helfer,helper,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,0,0,44,33.071008200000506,,5.0,14.266706700000213,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Würde,dignity,6.380952,2.253518,4.65625,2.405145,8.032258,1.792221,5,2,0,1,1,94,47.62755819999802,,1.0,4.334911300000385,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Schuh,shoe,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,2,2,75,51.99918360000083,,5.0,2.3135363000001234,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Geisel,hostage,2.857143,2.64488,6.460318,2.298845,4.0,2.61145,6,2,0,3,3,33,54.3569834000009,,5.0,3.5179482999992615,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Faden,thread,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2,0,4,4,21,57.92033739999897,,5.0,2.8063552000021446,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Stachel,spike,4.476191,1.56429,4.0625,2.409472,1.873016,1.22464,7,2,0,5,5,76,60.76257769999938,,5.0,2.363877499999944,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Sucht,addiction,3.238095,2.427758,6.349206,1.952325,7.564516,1.996891,5,1,0,6,6,80,63.15923509999993,,1.0,5.192593600000691,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Hymne,anthem,5.765625,1.941544,4.1875,2.435681,5.129032,2.748972,5,2,0,7,7,47,68.38782799999899,,2.0,4.069916100001137,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Schnur,cord,4.90625,0.683566,2.145161,1.667891,1.790323,1.202962,6,1,0,8,8,74,72.50697310000032,,5.0,2.182477700000163,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Dampf,steam,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,5,1,0,9,9,18,74.73710879999999,,5.0,2.455270800001017,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Reptil,reptile,4.75,1.414214,3.640625,2.228012,2.241936,1.585648,6,2,0,10,10,70,77.22865180000008,,5.0,3.7490737000007357,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Kreide,chalk,5.046875,0.764898,2.21875,1.588338,1.451613,0.761307,6,2,0,11,11,52,81.01077179999993,,5.0,2.340248000000429,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Butter,butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,6,2,0,12,12,16,83.38980000000083,,5.0,1.7691823999994085,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Glaube,faith,5.952381,2.239157,4.564516,2.287679,8.048387,1.768832,6,2,0,13,13,38,85.2057324999987,,2.0,5.502237900000182,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Freund,friend,6.9375,2.587362,7.111111,2.215132,4.730159,2.846653,6,1,0,14,14,27,90.7426646999993,,5.0,3.8339889000017138,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Opfer,sacrifice,3.0,2.469165,6.428571,2.298066,4.968254,2.614897,5,2,0,15,15,61,94.62154329999976,,4.0,2.9069286999983888,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Inhalt,content,5.140625,0.989904,2.131148,1.687952,6.571429,2.353544,6,2,0,16,16,49,97.57513180000024,,2.0,5.99250160000156,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Geier,vulture,4.25,1.885618,3.83871,2.334303,1.666667,1.295152,5,2,0,17,17,31,103.60656509999899,,5.0,2.1927944000017305,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Tragik,tragedy,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2,0,18,18,84,105.84459950000019,,2.0,2.279050699999061,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Kummer,grief,3.296875,2.517745,5.109375,2.35107,7.920635,1.649062,6,2,0,19,19,53,108.16143569999986,,2.0,2.257158899999922,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Stapel,stack,4.96875,0.616409,1.918033,1.68617,2.984127,2.239615,6,2,0,20,20,77,110.46668919999865,,5.0,2.819601999999577,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Tango,tango,6.25,2.130653,4.796875,2.495581,3.774194,2.418639,5,2,0,21,21,81,113.32925799999794,,4.0,2.495788200001698,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gunst,favour,6.174603,1.631739,3.609375,2.272103,7.435484,1.770625,5,1,0,22,22,39,115.85711819999779,,1.0,2.706899799999519,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Felsen,rock,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,6,2,0,23,23,23,118.59661340000093,,5.0,2.0533410999996704,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Denkmal,monument,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1,0,24,24,19,120.69868510000015,,4.0,3.1903021999969496,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Advent,advent,6.301587,2.060652,4.079365,2.671846,5.306452,2.928597,6,2,0,25,25,1,123.92433579999852,,3.0,2.405944300000556,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Schale,bowl,5.15873,0.936816,2.672131,1.989316,1.854839,1.597609,6,2,0,26,26,73,126.3666779999985,,5.0,2.176936100000603,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Ordner,folder,5.171875,1.032099,2.196721,1.777823,2.380952,2.330918,6,2,0,27,27,62,128.58607669999765,,5.0,1.7459123999979056,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gebäck,litter,6.0625,1.717094,3.234375,2.180303,2.0,1.305725,6,2,0,28,28,28,130.3658534999995,,5.0,2.207146799999464,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Zeitung,newspaper,5.5625,1.592393,2.419355,1.625094,1.380952,0.705476,7,2,0,29,29,95,132.60665979999976,,5.0,1.8867805000008957,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Hengst,stallion,5.453125,1.413424,4.285714,2.445724,2.209677,1.784607,6,1,0,30,30,45,134.54479189999984,,5.0,1.4150172000008752,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Anhang,appendix,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2,0,31,31,3,135.99231220000001,,2.0,3.97222690000126,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Produkt,product,5.140625,0.870453,2.253968,1.645799,4.380952,2.942616,7,2,0,32,32,69,140.00213969999822,,3.0,3.283253600002354,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Liebchen,sweetheart,6.206349,1.667127,5.09375,2.334821,6.428571,2.029733,8,2,0,33,33,56,143.31872060000023,,4.0,2.538937299999816,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Zug,train,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1,0,34,34,99,145.88872550000087,,5.0,2.1386027000007743,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Abfahrt,departure,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,35,35,0,148.05878830000074,,2.0,3.8446726000001945,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Parfüm,perfume,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,36,36,65,151.96187459999783,,5.0,2.3178805999996257,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
