word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Stunk,3.53125,2.281525,5.90625,2.314336,6.822581,2.161695,5,1,0,0,0,79,1.737114833999982,,1.0,7.693209375000009,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Urne,3.5625,2.114763,4.809524,2.558081,2.0,1.45912,4,2,0,1,1,89,9.44606349999998,,5.0,1.8691427090000161,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Stress,3.515625,2.316211,5.777778,2.574343,7.349206,2.033262,6,1,0,2,2,78,11.332595666999993,,1.0,2.601033916999995,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Freund,6.9375,2.587362,7.111111,2.215132,4.730159,2.846653,6,1,0,3,3,27,13.9522695,,4.0,2.717787499999986,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tänzer,5.904762,2.005752,5.52381,2.638775,3.31746,2.263493,6,2,0,4,4,82,16.689866209,,4.0,2.169628749999987,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1,0,5,5,19,18.87883554199999,,5.0,1.6387906660000056,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2,0,6,6,21,20.535526583999996,,5.0,1.3160285410000085,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Härte,4.59375,1.874802,4.15625,2.324601,6.483871,2.494203,5,2,0,7,7,42,21.870226916999997,,2.0,1.8249404579999862,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,8,8,97,23.71623654199999,,4.0,3.000003458000009,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Felsen,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,6,2,0,9,9,23,26.732966499999975,,5.0,2.6836132500000076,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gezänk,3.328125,2.047489,5.0625,2.455153,6.984127,2.105998,6,2,0,10,10,36,29.44988458399999,,2.0,2.4516640000000223,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,4,1,0,11,11,7,31.904530459,,5.0,2.7999570419999884,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Pest,2.904762,2.860827,6.84127,2.171712,4.612903,2.932882,4,1,0,12,12,66,34.7231865,,3.0,1.9847532500000113,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bonbon,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,6,2,0,13,13,14,36.72700220899998,,5.0,1.7713031249999744,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2,0,14,14,3,38.516573541999975,,3.0,2.1777241249999975,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Feind,3.079365,2.384774,7.0,2.12319,6.016129,2.53818,5,1,0,15,15,22,40.711572625,,3.0,2.4218199999999968,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Hymne,5.765625,1.941544,4.1875,2.435681,5.129032,2.748972,5,2,0,16,16,47,43.16728179200001,,4.0,1.969798207999986,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Inhalt,5.140625,0.989904,2.131148,1.687952,6.571429,2.353544,6,2,0,17,17,49,45.14025716699999,,2.0,3.1395172080000293,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2,0,18,18,13,48.31707900000001,,5.0,1.6723082089999934,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tripper,3.142857,2.663112,6.265625,2.463977,4.951613,3.091116,7,2,0,19,19,85,50.00406004199996,,3.0,3.6762654999999995,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,20,20,9,53.70051412500001,,4.0,3.084497957999986,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Irrsinn,3.9375,1.934441,5.539683,2.354306,7.419355,1.815673,7,2,0,21,21,50,56.817373333999996,,2.0,2.735781667000026,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Liebchen,6.206349,1.667127,5.09375,2.334821,6.428571,2.029733,8,2,0,22,22,56,59.555478625000006,,2.0,3.106091499999991,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Paket,5.484375,1.297032,2.650794,2.056922,1.83871,1.427982,5,2,0,23,23,64,62.67955004199999,,5.0,1.7032481670000266,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2,0,24,24,10,64.40017275,,3.0,1.8850559580000095,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Mama,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,25,25,58,66.30326620899999,,3.0,2.2481442499999957,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Fleiss,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,5,1,0,26,26,24,68.569295042,,1.0,1.9203402090000168,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Zeitung,5.5625,1.592393,2.419355,1.625094,1.380952,0.705476,7,2,0,27,27,95,70.50793604200001,,5.0,1.9488062500000183,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Kreide,5.046875,0.764898,2.21875,1.588338,1.451613,0.761307,6,2,0,28,28,52,72.47422233399996,,5.0,1.2370279589999882,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Phobie,3.412698,2.460232,6.15625,2.365216,8.0,1.471032,6,2,0,29,29,67,73.728270417,,2.0,1.6800018330000057,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
