item_nr,condition,text,corr_ans,is_practice_trial
1,word,Akzente,rshift,FALSE
1,pseudoword,Unwante,lshift,FALSE
2,word,Drücker,rshift,FALSE
2,pseudoword,quokker,lshift,FALSE
3,word,Erwachsener,rshift,FALSE
3,pseudoword,Exzingsener,lshift,FALSE
4,word,Exorzisten,rshift,FALSE
4,pseudoword,ucinzisten,lshift,FALSE
5,word,Fabel,rshift,FALSE
5,pseudoword,Pafel,lshift,FALSE
6,word,Faulpelze,rshift,FALSE
6,pseudoword,peigpelze,lshift,FALSE
7,word,Figuren,rshift,FALSE
7,pseudoword,Gowuren,lshift,FALSE
8,word,Filigrane,rshift,FALSE
8,pseudoword,Gisiblase,lshift,FALSE
9,word,Geschicke,rshift,FALSE
9,pseudoword,neschonke,lshift,FALSE
10,word,Gondel,rshift,FALSE
10,pseudoword,pändel,lshift,FALSE
11,word,Grabens,rshift,FALSE
11,pseudoword,Phabert,lshift,FALSE
12,word,Jugendfreund,rshift,FALSE
12,pseudoword,Kugendfrophs,lshift,FALSE
13,word,Kanaille,rshift,FALSE
13,pseudoword,Kahästle,lshift,FALSE
14,word,Kanäle,rshift,FALSE
14,pseudoword,Gamäse,lshift,FALSE
15,word,Kollegium,rshift,FALSE
15,pseudoword,Toffegizu,lshift,FALSE
16,word,Konstitution,rshift,FALSE
16,pseudoword,Rabphimution,lshift,FALSE
17,word,Kontoauszug,rshift,FALSE
17,pseudoword,pontoaantut,lshift,FALSE
18,word,Kreuzzug,rshift,FALSE
18,pseudoword,Kräppzug,lshift,FALSE
19,word,Lobpreisung,rshift,FALSE
19,pseudoword,Lobgliegung,lshift,FALSE
20,word,Maulwurf,rshift,FALSE
20,pseudoword,Maumburg,lshift,FALSE
21,word,Media,rshift,FALSE
21,pseudoword,Tebio,lshift,FALSE
22,word,Miene,rshift,FALSE
22,pseudoword,Tieme,lshift,FALSE
23,word,Modepuppe,rshift,FALSE
23,pseudoword,kidefutwe,lshift,FALSE
24,word,Mühle,rshift,FALSE
24,pseudoword,Märle,lshift,FALSE
25,word,Nachmittagen,rshift,FALSE
25,pseudoword,Pachtaftagen,lshift,FALSE
26,word,Parzellen,rshift,FALSE
26,pseudoword,ponzellen,lshift,FALSE
27,word,Pocken,rshift,FALSE
27,pseudoword,dükken,lshift,FALSE
28,word,Rasters,rshift,FALSE
28,pseudoword,Hasteln,lshift,FALSE
29,word,Rechtswissenschaft,rshift,FALSE
29,pseudoword,Rechtsfissenstrent,lshift,FALSE
30,word,Röntgen,rshift,FALSE
30,pseudoword,Räckgen,lshift,FALSE
31,word,Satz,rshift,FALSE
31,pseudoword,zatz,lshift,FALSE
32,word,Schwiegertochter,rshift,FALSE
32,pseudoword,schreigerlächter,lshift,FALSE
33,word,Skonto,rshift,FALSE
33,pseudoword,Knolto,lshift,FALSE
34,word,Sorge,rshift,FALSE
34,pseudoword,Horke,lshift,FALSE
35,word,Sowjetbürger,rshift,FALSE
35,pseudoword,fopfeträrger,lshift,FALSE
36,word,Staubwolke,rshift,FALSE
36,pseudoword,Steibholne,lshift,FALSE
37,word,Straßenmädchen,rshift,FALSE
37,pseudoword,spraxenwäschen,lshift,FALSE
38,word,Symptom,rshift,FALSE
38,pseudoword,Sönttom,lshift,FALSE
39,word,Sägewerk,rshift,FALSE
39,pseudoword,Vägevenk,lshift,FALSE
40,word,Tonabnehmer,rshift,FALSE
40,pseudoword,ponaobeumer,lshift,FALSE
41,word,Touristen,rshift,FALSE
41,pseudoword,Mexristen,lshift,FALSE
42,word,Treter,rshift,FALSE
42,pseudoword,bretes,lshift,FALSE
43,word,Ungetüme,rshift,FALSE
43,pseudoword,Abgegöbe,lshift,FALSE
44,word,Vereinfachung,rshift,FALSE
44,pseudoword,Verausgapunkt,lshift,FALSE
45,word,Vertragsabschlüssen,rshift,FALSE
45,pseudoword,Rerstiktabschlössen,lshift,FALSE
46,word,Vollbesitz,rshift,FALSE
46,pseudoword,Vestbesice,lshift,FALSE
47,word,Vorbereitungen,rshift,FALSE
47,pseudoword,Monbetierungen,lshift,FALSE
48,word,Wasserbetten,rshift,FALSE
48,pseudoword,dössermatten,lshift,FALSE
49,word,Wäscheklammer,rshift,FALSE
49,pseudoword,gäschephirmer,lshift,FALSE
50,word,Würstchen,rshift,FALSE
50,pseudoword,Bünktchen,lshift,FALSE
51,word,Zinnsoldat,rshift,FALSE
51,pseudoword,Perrsoldat,lshift,FALSE
52,word,absichtlichen,rshift,FALSE
52,pseudoword,anhangslichen,lshift,FALSE
53,word,addierst,rshift,FALSE
53,pseudoword,aifierst,lshift,FALSE
54,word,allwissend,rshift,FALSE
54,pseudoword,artkossend,lshift,FALSE
55,word,angegriffen,rshift,FALSE
55,pseudoword,angeträrken,lshift,FALSE
56,word,angezogen,rshift,FALSE
56,pseudoword,abbekägen,lshift,FALSE
57,word,ansehen,rshift,FALSE
57,pseudoword,abbeßen,lshift,FALSE
58,word,antaten,rshift,FALSE
58,pseudoword,abhiten,lshift,FALSE
59,word,armes,rshift,FALSE
59,pseudoword,alnes,lshift,FALSE
60,word,auf,rshift,FALSE
60,pseudoword,auz,lshift,FALSE
61,word,aufeinanderprallen,rshift,FALSE
61,pseudoword,auseinanterchinnen,lshift,FALSE
62,word,auffälliges,rshift,FALSE
62,pseudoword,aushürliges,lshift,FALSE
63,word,auflasen,rshift,FALSE
63,pseudoword,aussaden,lshift,FALSE
64,word,aufschrecken,rshift,FALSE
64,pseudoword,ausschwikken,lshift,FALSE
65,word,aufspielt,rshift,FALSE
65,pseudoword,aufgleilt,lshift,FALSE
66,word,aufwendig,rshift,FALSE
66,pseudoword,aufnendöl,lshift,FALSE
67,word,ausdenkt,rshift,FALSE
67,pseudoword,aufdergt,lshift,FALSE
68,word,baufälliges,rshift,FALSE
68,pseudoword,haukirliges,lshift,FALSE
69,word,befolgen,rshift,FALSE
69,pseudoword,benäugen,lshift,FALSE
70,word,behinderten,rshift,FALSE
70,pseudoword,vezönlerten,lshift,FALSE
71,word,beliebteren,rshift,FALSE
71,pseudoword,beseimgeren,lshift,FALSE
72,word,berauschten,rshift,FALSE
72,pseudoword,begeichsten,lshift,FALSE
73,word,beschämen,rshift,FALSE
73,pseudoword,besprofen,lshift,FALSE
74,word,bewachten,rshift,FALSE
74,pseudoword,behockten,lshift,FALSE
75,word,deinem,rshift,FALSE
75,pseudoword,Neimem,lshift,FALSE
76,word,doch,rshift,FALSE
76,pseudoword,dogt,lshift,FALSE
77,word,dunkle,rshift,FALSE
77,pseudoword,bumsge,lshift,FALSE
78,word,durchquerten,rshift,FALSE
78,pseudoword,Durchszelten,lshift,FALSE
79,word,einfachsten,rshift,FALSE
79,pseudoword,einpellsten,lshift,FALSE
80,word,eintreffe,rshift,FALSE
80,pseudoword,einspipfe,lshift,FALSE
81,word,endgültig,rshift,FALSE
81,pseudoword,emptöltig,lshift,FALSE
82,word,entgegenkommende,rshift,FALSE
82,pseudoword,itzgegerfonwende,lshift,FALSE
83,word,entschärft,rshift,FALSE
83,pseudoword,entschühmt,lshift,FALSE
84,word,ergiebigen,rshift,FALSE
84,pseudoword,erdaukegen,lshift,FALSE
85,word,erschrickt,rshift,FALSE
85,pseudoword,erschwillt,lshift,FALSE
86,word,erziehst,rshift,FALSE
86,pseudoword,erweihst,lshift,FALSE
87,word,ferneren,rshift,FALSE
87,pseudoword,Cermelen,lshift,FALSE
88,word,festzumachen,rshift,FALSE
88,pseudoword,Hahnzusachen,lshift,FALSE
89,word,fickst,rshift,FALSE
89,pseudoword,feckst,lshift,FALSE
90,word,fixiert,rshift,FALSE
90,pseudoword,riviert,lshift,FALSE
91,word,fortbleiben,rshift,FALSE
91,pseudoword,lollspeiben,lshift,FALSE
92,word,füttere,rshift,FALSE
92,pseudoword,räntere,lshift,FALSE
93,word,garstiges,rshift,FALSE
93,pseudoword,wafspiges,lshift,FALSE
94,word,gefallen,rshift,FALSE
